group,function,value,sample_time_nanos,iteration_count
reverse,,,1058893.0,5655
reverse,,,2012917.0,11310
reverse,,,3022121.0,16965
reverse,,,3917974.0,22620
reverse,,,5196562.0,28275
reverse,,,6335217.0,33930
reverse,,,7463482.0,39585
reverse,,,8008205.0,45240
reverse,,,9231126.0,50895
reverse,,,9970739.0,56550
reverse,,,10823156.0,62205
reverse,,,11944095.0,67860
reverse,,,12837748.0,73515
reverse,,,14008505.0,79170
reverse,,,14943884.0,84825
reverse,,,16008370.0,90480
reverse,,,16835218.0,96135
reverse,,,17816184.0,101790
reverse,,,18882681.0,107445
reverse,,,20007363.0,113100
reverse,,,21487674.0,118755
reverse,,,21740009.0,124410
reverse,,,22937846.0,130065
reverse,,,23985497.0,135720
reverse,,,24799597.0,141375
reverse,,,25571978.0,147030
reverse,,,26679512.0,152685
reverse,,,27684603.0,158340
reverse,,,28623193.0,163995
reverse,,,29622671.0,169650
reverse,,,30377050.0,175305
reverse,,,31880844.0,180960
reverse,,,32400893.0,186615
reverse,,,33201958.0,192270
reverse,,,34415161.0,197925
reverse,,,35361906.0,203580
reverse,,,36761118.0,209235
reverse,,,38023871.0,214890
reverse,,,38419971.0,220545
reverse,,,39208352.0,226200
reverse,,,40269128.0,231855
reverse,,,41131956.0,237510
reverse,,,42324598.0,243165
reverse,,,43141112.0,248820
reverse,,,44505580.0,254475
reverse,,,45394239.0,260130
reverse,,,46199207.0,265785
reverse,,,47180029.0,271440
reverse,,,48043643.0,277095
reverse,,,49600646.0,282750
reverse,,,50590989.0,288405
reverse,,,52367369.0,294060
reverse,,,52813163.0,299715
reverse,,,53964041.0,305370
reverse,,,55029859.0,311025
reverse,,,55419843.0,316680
reverse,,,56398392.0,322335
reverse,,,57236670.0,327990
reverse,,,58142684.0,333645
reverse,,,59615944.0,339300
reverse,,,59887376.0,344955
reverse,,,60873740.0,350610
reverse,,,61938990.0,356265
reverse,,,63597919.0,361920
reverse,,,64006553.0,367575
reverse,,,65016264.0,373230
reverse,,,66107016.0,378885
reverse,,,67353080.0,384540
reverse,,,67762671.0,390195
reverse,,,69033077.0,395850
reverse,,,71044361.0,401505
reverse,,,71777374.0,407160
reverse,,,72345051.0,412815
reverse,,,74142274.0,418470
reverse,,,75319466.0,424125
reverse,,,75124530.0,429780
reverse,,,75695561.0,435435
reverse,,,77277654.0,441090
reverse,,,77755259.0,446745
reverse,,,78862134.0,452400
reverse,,,80054300.0,458055
reverse,,,81036946.0,463710
reverse,,,81956029.0,469365
reverse,,,82888256.0,475020
reverse,,,83514462.0,480675
reverse,,,84941635.0,486330
reverse,,,85691867.0,491985
reverse,,,87704135.0,497640
reverse,,,88162316.0,503295
reverse,,,89366032.0,508950
reverse,,,90296443.0,514605
reverse,,,90824656.0,520260
reverse,,,91617531.0,525915
reverse,,,93594468.0,531570
reverse,,,94397569.0,537225
reverse,,,95586444.0,542880
reverse,,,96347739.0,548535
reverse,,,97026652.0,554190
reverse,,,98143862.0,559845
reverse,,,98379789.0,565500
